"","scenario","run","dist.of.pi","num.of.studies","sample.sizes","true.pi","heterogeneity","num.of.events","sample.pi"
"1",509,1,"NA",5,11,0.2,0,2,0.2
"2",509,1,"NA",5,17,0.2,0,5,0.2
"3",509,1,"NA",5,27,0.2,0,7,0.2
"4",509,1,"NA",5,11,0.2,0,1,0.2
"5",509,1,"NA",5,33,0.2,0,3,0.2
"6",509,2,"NA",5,43,0.2,0,8,0.2
"7",509,2,"NA",5,14,0.2,0,3,0.2
"8",509,2,"NA",5,27,0.2,0,6,0.2
"9",509,2,"NA",5,26,0.2,0,1,0.2
"10",509,2,"NA",5,38,0.2,0,10,0.2
"11",509,3,"NA",5,35,0.2,0,10,0.2
"12",509,3,"NA",5,6,0.2,0,1,0.2
"13",509,3,"NA",5,37,0.2,0,7,0.2
"14",509,3,"NA",5,19,0.2,0,6,0.2
"15",509,3,"NA",5,5,0.2,0,1,0.2
"16",509,4,"NA",5,35,0.2,0,7,0.2
"17",509,4,"NA",5,49,0.2,0,9,0.2
"18",509,4,"NA",5,40,0.2,0,5,0.2
"19",509,4,"NA",5,23,0.2,0,4,0.2
"20",509,4,"NA",5,26,0.2,0,3,0.2
"21",509,5,"NA",5,25,0.2,0,2,0.2
"22",509,5,"NA",5,18,0.2,0,4,0.2
"23",509,5,"NA",5,28,0.2,0,3,0.2
"24",509,5,"NA",5,43,0.2,0,10,0.2
"25",509,5,"NA",5,50,0.2,0,14,0.2
"26",509,6,"NA",5,18,0.2,0,7,0.2
"27",509,6,"NA",5,17,0.2,0,1,0.2
"28",509,6,"NA",5,21,0.2,0,2,0.2
"29",509,6,"NA",5,11,0.2,0,2,0.2
"30",509,6,"NA",5,6,0.2,0,3,0.2
"31",509,7,"NA",5,45,0.2,0,11,0.2
"32",509,7,"NA",5,37,0.2,0,7,0.2
"33",509,7,"NA",5,27,0.2,0,4,0.2
"34",509,7,"NA",5,48,0.2,0,6,0.2
"35",509,7,"NA",5,16,0.2,0,6,0.2
"36",509,8,"NA",5,50,0.2,0,9,0.2
"37",509,8,"NA",5,28,0.2,0,4,0.2
"38",509,8,"NA",5,17,0.2,0,3,0.2
"39",509,8,"NA",5,33,0.2,0,6,0.2
"40",509,8,"NA",5,34,0.2,0,8,0.2
"41",509,9,"NA",5,28,0.2,0,8,0.2
"42",509,9,"NA",5,11,0.2,0,3,0.2
"43",509,9,"NA",5,17,0.2,0,4,0.2
"44",509,9,"NA",5,34,0.2,0,10,0.2
"45",509,9,"NA",5,40,0.2,0,9,0.2
"46",509,10,"NA",5,13,0.2,0,2,0.2
"47",509,10,"NA",5,43,0.2,0,5,0.2
"48",509,10,"NA",5,19,0.2,0,4,0.2
"49",509,10,"NA",5,32,0.2,0,5,0.2
"50",509,10,"NA",5,33,0.2,0,7,0.2
"51",509,11,"NA",5,5,0.2,0,1,0.2
"52",509,11,"NA",5,19,0.2,0,6,0.2
"53",509,11,"NA",5,39,0.2,0,6,0.2
"54",509,11,"NA",5,24,0.2,0,2,0.2
"55",509,11,"NA",5,9,0.2,0,1,0.2
"56",509,12,"NA",5,23,0.2,0,2,0.2
"57",509,12,"NA",5,7,0.2,0,2,0.2
"58",509,12,"NA",5,19,0.2,0,3,0.2
"59",509,12,"NA",5,25,0.2,0,4,0.2
"60",509,12,"NA",5,42,0.2,0,10,0.2
"61",509,13,"NA",5,42,0.2,0,10,0.2
"62",509,13,"NA",5,12,0.2,0,1,0.2
"63",509,13,"NA",5,7,0.2,0,2,0.2
"64",509,13,"NA",5,28,0.2,0,10,0.2
"65",509,13,"NA",5,34,0.2,0,10,0.2
"66",509,14,"NA",5,7,0.2,0,2,0.2
"67",509,14,"NA",5,42,0.2,0,8,0.2
"68",509,14,"NA",5,13,0.2,0,3,0.2
"69",509,14,"NA",5,36,0.2,0,6,0.2
"70",509,14,"NA",5,14,0.2,0,4,0.2
"71",509,15,"NA",5,9,0.2,0,1,0.2
"72",509,15,"NA",5,26,0.2,0,2,0.2
"73",509,15,"NA",5,19,0.2,0,8,0.2
"74",509,15,"NA",5,21,0.2,0,4,0.2
"75",509,15,"NA",5,48,0.2,0,8,0.2
"76",509,16,"NA",5,9,0.2,0,1,0.2
"77",509,16,"NA",5,33,0.2,0,8,0.2
"78",509,16,"NA",5,22,0.2,0,4,0.2
"79",509,16,"NA",5,30,0.2,0,6,0.2
"80",509,16,"NA",5,46,0.2,0,11,0.2
"81",509,17,"NA",5,10,0.2,0,1,0.2
"82",509,17,"NA",5,27,0.2,0,9,0.2
"83",509,17,"NA",5,32,0.2,0,5,0.2
"84",509,17,"NA",5,24,0.2,0,6,0.2
"85",509,17,"NA",5,5,0.2,0,1,0.2
