"","scenario","true.pi","dist.of.pi","num.studies","sample.sizes","heterogeneity","bias","bias.prop","RMSE","RMSE.prop","coverage"
"1",1,0.001,"NA",5,"small",0,4.04909253394594e-05,0.0404909253394594,7.29603034487587e-06,0.00729603034487587,0.935
"2",2,0.001,"NA",5,"medium",0,2.15632640823281e-05,0.0215632640823281,1.69038699152116e-06,0.00169038699152116,0.965
"3",3,0.001,"NA",5,"large",0,7.34275529317513e-06,0.00734275529317513,3.24537229945297e-07,0.000324537229945297,0.973
"4",4,0.001,"NA",5,"mix",0,1.09141868635863e-06,0.00109141868635863,1.21313500545614e-06,0.00121313500545614,0.965
"5",5,0.001,"NA",5,"small",0,-8.57121500051384e-05,-0.0857121500051384,8.27897780001127e-06,0.00827897780001127,0.929
"6",6,0.001,"NA",5,"medium",0,-4.26866255857862e-05,-0.0426866255857862,1.67636469059303e-06,0.00167636469059303,0.967
"7",7,0.001,"NA",5,"large",0,-1.69438815553434e-05,-0.0169438815553434,3.45040991745536e-07,0.000345040991745536,0.958
"8",8,0.001,"NA",5,"mix",0,4.74897118515272e-05,0.0474897118515272,1.11052470843493e-06,0.00111052470843493,0.965
"9",9,0.001,"NA",15,"small",0,3.52571305232554e-05,0.0352571305232554,2.3136683827159e-06,0.0023136683827159,0.94
"10",10,0.001,"NA",15,"medium",0,5.9383697340181e-06,0.0059383697340181,5.55725333504788e-07,0.000555725333504788,0.964
"11",11,0.001,"NA",15,"large",0,-2.63082282237646e-05,-0.0263082282237646,1.13284904340431e-07,0.000113284904340431,0.962
"12",12,0.001,"NA",15,"mix",0,2.06521814228866e-05,0.0206521814228866,6.64963384220824e-07,0.000664963384220824,0.964
"13",13,0.001,"NA",15,"small",0,-1.7434448224321e-05,-0.017434448224321,2.44973174980482e-06,0.00244973174980482,0.941
"14",14,0.001,"NA",15,"medium",0,7.2744941494093e-05,0.072744941494093,5.14359779138789e-07,0.000514359779138789,0.969
"15",15,0.001,"NA",15,"large",0,1.41390172843912e-05,0.0141390172843912,1.10894393844716e-07,0.000110894393844716,0.961
"16",16,0.001,"NA",15,"mix",0,-2.58035149720822e-06,-0.00258035149720822,7.12443593140938e-07,0.000712443593140938,0.956
"17",17,0.001,"NA",30,"small",0,8.10819549254077e-05,0.0810819549254077,1.17898331464593e-06,0.00117898331464593,0.96
"18",18,0.001,"NA",30,"medium",0,2.19613617586511e-05,0.0219613617586511,2.49577596137961e-07,0.000249577596137961,0.975
"19",19,0.001,"NA",30,"large",0,1.16312371442046e-06,0.00116312371442046,5.3752663880837e-08,5.3752663880837e-05,0.967
"20",20,0.001,"NA",30,"mix",0,-1.52710050972122e-06,-0.00152710050972122,2.61773570102344e-07,0.000261773570102344,0.969
"21",21,0.001,"NA",30,"small",0,3.85497408600953e-05,0.0385497408600953,1.16814054902367e-06,0.00116814054902367,0.952
"22",22,0.001,"NA",30,"medium",0,6.38170721774046e-06,0.00638170721774046,2.87968420773197e-07,0.000287968420773197,0.959
