"","scenario","run","dist.of.pi","num.of.studies","true.pi","heterogeneity","sample.pi","est","ci.lb","ci.ub"
"1",287,1,"beta",30,0.01,0.1,0.0100021838939019,0.00906735751295806,0.0062677233286111,0.0131010312759434
"2",287,2,"beta",30,0.01,0.1,0.00999977307307754,0.00901662440123979,0.00638323639907583,0.0127224994649005
"3",287,3,"beta",30,0.01,0.1,0.00999371716003108,0.00956683497209672,0.00690847111526069,0.0132344989761011
"4",287,4,"beta",30,0.01,0.1,0.00999914443583351,0.00656968559374273,0.00453981933496551,0.00949849541150345
"5",287,5,"beta",30,0.01,0.1,0.0099865592682397,0.00883652430044577,0.00592966003552341,0.0131495543703741
"6",287,6,"beta",30,0.01,0.1,0.00999122932605685,0.0074051218759643,0.00496820432371685,0.0110241109516494
"7",287,7,"beta",30,0.01,0.1,0.00999580090393589,0.00795002839295859,0.00549461214324159,0.0114900365744043
"8",287,8,"beta",30,0.01,0.1,0.0100164852533132,0.00919117647058823,0.00660628830919914,0.012774465610667
"9",287,9,"beta",30,0.01,0.1,0.0100089049479079,0.00860719874804413,0.00612534708651347,0.0120824155547061
"10",287,10,"beta",30,0.01,0.1,0.0099930419311213,0.00682056663169105,0.00464796582002249,0.00999850594896941
"11",287,11,"beta",30,0.01,0.1,0.00998695573898251,0.0085518814139111,0.005985605958915,0.0122049151657687
"12",287,12,"beta",30,0.01,0.1,0.0100013781805915,0.0129620739531288,0.00994061513064933,0.0168862442635289
"13",287,13,"beta",30,0.01,0.1,0.0100089979706516,0.0106779240129128,0.00792841701488384,0.0143671278331943
"14",287,14,"beta",30,0.01,0.1,0.00999300181470388,0.0104372355430183,0.00757127034990057,0.0143723482544186
"15",287,15,"beta",30,0.01,0.1,0.0100100232662516,0.0109210047324358,0.00764601610575263,0.0155767377906895
"16",287,16,"beta",30,0.01,0.1,0.00998672340024982,0.0114090131203651,0.00837945522724331,0.015516755825456
"17",287,17,"beta",30,0.01,0.1,0.00999257887229371,0.00934371525110481,0.00691235912949337,0.0126194102854166
"18",287,18,"beta",30,0.01,0.1,0.0100152507614166,0.00672043010754525,0.00433970013295189,0.0103935786293997
"19",287,19,"beta",30,0.01,0.1,0.0100019798130918,0.00999729802756023,0.0072517685824949,0.0137678729445828
"20",287,20,"beta",30,0.01,0.1,0.010022623123992,0.01039755351682,0.00743846152815824,0.0145165845984878
"21",287,21,"beta",30,0.01,0.1,0.00999747030180045,0.0115455261086329,0.0086026861098488,0.0154793459025759
"22",287,22,"beta",30,0.01,0.1,0.0100020642836396,0.00909607731665719,0.00643954589417637,0.0128343617295854
"23",287,23,"beta",30,0.01,0.1,0.00999709236934258,0.0131406044678055,0.00997310016421365,0.0172965474216531
"24",287,24,"beta",30,0.01,0.1,0.0100151172764542,0.00954100051572982,0.00692041951550642,0.0131407955938268
"25",287,25,"beta",30,0.01,0.1,0.0100032540216916,0.00805404001039313,0.00566965705710215,0.0114296523615424
"26",287,26,"beta",30,0.01,0.1,0.0100147031012257,0.0121432908318155,0.00891948792836654,0.016512870716384
"27",287,27,"beta",30,0.01,0.1,0.0100068552313618,0.0104001808727108,0.00779866941799553,0.0138573946802383
"28",287,28,"beta",30,0.01,0.1,0.00999851338363152,0.0123832724319935,0.0096465251588377,0.0158839900501278
"29",287,29,"beta",30,0.01,0.1,0.0099927486592934,0.00619020821613332,0.00407930309937354,0.00938314585089771
"30",287,30,"beta",30,0.01,0.1,0.0099895641388549,0.0104331331014859,0.00742639580277451,0.0146392588311352
"31",287,31,"beta",30,0.01,0.1,0.0100038101866157,0.00850190559953356,0.00591436141552825,0.0122076033004886
"32",287,32,"beta",30,0.01,0.1,0.0100010113478334,0.00725416442772722,0.00497932202142288,0.0105572596179754
"33",287,33,"beta",30,0.01,0.1,0.0100229515650366,0.0116306117701791,0.00882569734570516,0.0153131899816321
"34",287,34,"beta",30,0.01,0.1,0.00999735110402566,0.010459587955626,0.00744525014435387,0.0146762869803554
"35",287,35,"beta",30,0.01,0.1,0.0100034241947304,0.00777363184080703,0.00525796792511459,0.0114790206293869
"36",287,36,"beta",30,0.01,0.1,0.00999203231212387,0.00876662636033859,0.00609871364667998,0.0125868506526952
"37",287,37,"beta",30,0.01,0.1,0.00997967651203546,0.0098352594049668,0.00722232148247607,0.0133807816013484
"38",287,38,"beta",30,0.01,0.1,0.0100035989241651,0.00942226630300033,0.00686337197243533,0.0129227878400081
"39",287,39,"beta",30,0.01,0.1,0.0100014258203352,0.0115908432338453,0.00851317591373131,0.0157634535215315
"40",287,40,"beta",30,0.01,0.1,0.00999427303600594,0.010566242210783,0.00772924096412425,0.014429416042874
"41",287,41,"beta",30,0.01,0.1,0.00999324633704242,0.00860585197934595,0.00602342060651971,0.0122817731356843
"42",287,42,"beta",30,0.01,0.1,0.0100004367267354,0.00901132852729145,0.00647688376448275,0.0125250146498435
"43",287,43,"beta",30,0.01,0.1,0.010013189170088,0.00899550224887576,0.00649546603098546,0.0124457219443689
"44",287,44,"beta",30,0.01,0.1,0.00998246652570803,0.0111561866125761,0.00831223320550445,0.0149584951723443
"45",287,45,"beta",30,0.01,0.1,0.00998809208740583,0.00958826847151764,0.00685883937840816,0.0133892123164037
"46",287,46,"beta",30,0.01,0.1,0.00999221541236324,0.00914076782449727,0.00657001764419715,0.0127045503356227
"47",287,47,"beta",30,0.01,0.1,0.010003714798626,0.00878334417696813,0.00603012796767286,0.0127774554847286
"48",287,48,"beta",30,0.01,0.1,0.00999322355125665,0.00851869380028396,0.00615083230444782,0.0117872903788346
"49",287,49,"beta",30,0.01,0.1,0.0100017346539122,0.0105547373588619,0.00783684485874962,0.0142017287277469
"50",287,50,"beta",30,0.01,0.1,0.00997109010094866,0.00984157465726603,0.00725446965119128,0.0133389021133635
"51",287,51,"beta",30,0.01,0.1,0.00999649920810525,0.0103225806451613,0.0075805903037592,0.0140423480109585
"52",287,52,"beta",30,0.01,0.1,0.0100112273195005,0.00954584900202487,0.00679410060860185,0.0133970778775427
"53",287,53,"beta",30,0.01,0.1,0.00999595411167738,0.0132506343636482,0.00996989616919552,0.0175917639337854
"54",287,54,"beta",30,0.01,0.1,0.0100077631949839,0.0110107284020327,0.00805478924056672,0.0150349934899554
"55",287,55,"beta",30,0.01,0.1,0.00999674527189441,0.0121112028626582,0.00902473481163854,0.0162359516355269
"56",287,56,"beta",30,0.01,0.1,0.0100086063971928,0.0125299920321483,0.00942696556927452,0.0166372708297753
"57",287,57,"beta",30,0.01,0.1,0.00999831895700868,0.00924768807798141,0.00670744391826725,0.0127376369979567
"58",287,58,"beta",30,0.01,0.1,0.0100022483158907,0.0101068437770722,0.00726521588216034,0.0140441878331517
"59",287,59,"beta",30,0.01,0.1,0.00999801929541382,0.010233918128655,0.00774294733763561,0.0135153397646777
"60",287,60,"beta",30,0.01,0.1,0.00999726824342744,0.00791958574474906,0.00539766350993015,0.011606062888892
"61",287,61,"beta",30,0.01,0.1,0.00999887342953963,0.0119609694680564,0.00871514074048062,0.0163956660320706
"62",287,62,"beta",30,0.01,0.1,0.00999952361034504,0.0114942528735633,0.00844214125806915,0.0156324069173883
"63",287,63,"beta",30,0.01,0.1,0.0100135385987503,0.00916258256979312,0.0068021396723529,0.0123319636066076
"64",287,64,"beta",30,0.01,0.1,0.0100117163807314,0.0104681593486479,0.00756013251985438,0.0144784484160558
