"","scenario","run","dist.of.pi","num.of.studies","true.pi","heterogeneity","sample.pi","est","ci.lb","ci.ub"
"1",562,1,"beta",15,0.2,0.5,0.203722668897925,0.183783783783791,0.147543238552242,0.226560153366269
"2",562,2,"beta",15,0.2,0.5,0.188614904155617,0.212410501193437,0.1758737822796,0.254196330258646
"3",562,3,"beta",15,0.2,0.5,0.209699901488758,0.20833333333373,0.170613934929599,0.25185944377392
"4",562,4,"beta",15,0.2,0.5,0.20157372142435,0.205417607223477,0.17033360960274,0.245588874832094
"5",562,5,"beta",15,0.2,0.5,0.207595926879386,0.175392670157068,0.140448964013241,0.21683715527599
"6",562,6,"beta",15,0.2,0.5,0.198472570324908,0.211734693877551,0.174104651567226,0.254986861455372
"7",562,7,"beta",15,0.2,0.5,0.174349856645106,0.192307692307692,0.159096504545774,0.230550905323784
"8",562,8,"beta",15,0.2,0.5,0.22899917582874,0.188630490956159,0.152696952840887,0.230717556268963
"9",562,9,"beta",15,0.2,0.5,0.232256583235286,0.203187250996016,0.170244293236227,0.240655965424364
"10",562,10,"beta",15,0.2,0.5,0.182773515725642,0.215102974828376,0.17907665421972,0.256115828573212
"11",562,11,"beta",15,0.2,0.5,0.165599936505612,0.162234042553391,0.128322848620796,0.203019565009575
"12",562,12,"beta",15,0.2,0.5,0.173979408230054,0.213157894737038,0.174869713709085,0.25721606609586
"13",562,13,"beta",15,0.2,0.5,0.264154544087065,0.179069767442448,0.145644220941499,0.218207252676082
"14",562,14,"beta",15,0.2,0.5,0.182377537445184,0.24712643678161,0.204634698156618,0.295167054380154
"15",562,15,"beta",15,0.2,0.5,0.191922280980011,0.20580474934038,0.168062263156244,0.249481451030444
"16",562,16,"beta",15,0.2,0.5,0.187813686274521,0.192052980132451,0.1583575741413,0.230950704891046
"17",562,17,"beta",15,0.2,0.5,0.217294290874985,0.224637681159682,0.186995621112078,0.267365175079217
"18",562,18,"beta",15,0.2,0.5,0.193367343297968,0.203931203931205,0.167559507591136,0.245866141717568
